iter	Passed	Remaining
0	78	157518
1	93	93596
2	106	70564
3	119	59702
4	131	52517
5	144	47986
6	158	44988
7	169	42183
8	181	40087
9	192	38305
10	204	36911
11	214	35589
12	226	34565
13	236	33613
14	248	32893
15	259	32125
16	269	31415
17	280	30858
18	291	30427
19	301	29856
20	312	29441
21	323	29091
22	334	28753
23	346	28500
24	358	28291
25	370	28113
26	381	27849
27	391	27597
28	404	27493
29	415	27302
30	426	27074
31	438	26960
32	448	26750
33	459	26541
34	470	26422
35	481	26280
36	493	26198
37	504	26068
38	515	25927
39	526	25782
40	536	25653
41	548	25568
42	559	25478
43	570	25350
44	581	25273
45	592	25178
46	604	25113
47	614	25006
48	624	24877
49	634	24761
50	645	24650
51	656	24593
52	667	24527
53	674	24316
54	686	24264
55	697	24218
56	709	24177
57	719	24099
58	732	24088
59	743	24032
60	753	23959
61	764	23894
62	774	23818
63	786	23777
64	797	23735
65	807	23674
66	819	23646
67	830	23609
68	842	23567
69	852	23502
70	863	23446
71	868	23265
72	879	23212
73	890	23180
74	901	23127
75	912	23095
76	922	23042
77	934	23018
78	945	22984
79	956	22953
80	967	22923
81	979	22908
82	991	22901
83	1003	22886
84	1014	22864
85	1025	22827
86	1036	22784
87	1048	22773
88	1058	22730
89	1069	22692
90	1081	22682
91	1092	22657
92	1104	22658
93	1116	22646
94	1128	22625
95	1140	22615
96	1151	22591
97	1163	22582
98	1174	22555
99	1185	22530
100	1197	22510
101	1203	22396
102	1214	22372
103	1225	22347
104	1238	22353
105	1249	22322
106	1261	22319
107	1273	22313
108	1286	22316
109	1298	22306
110	1309	22278
111	1320	22252
112	1330	22218
113	1342	22214
114	1355	22211
115	1366	22189
116	1376	22157
117	1387	22133
118	1398	22113
119	1410	22094
120	1422	22084
121	1433	22071
122	1444	22048
123	1456	22033
124	1467	22009
125	1478	21983
126	1484	21886
127	1495	21869
128	1501	21779
129	1514	21784
130	1525	21769
131	1537	21760
132	1549	21748
133	1561	21739
134	1573	21738
135	1585	21724
136	1598	21733
137	1610	21732
138	1624	21746
139	1635	21729
140	1647	21717
141	1657	21689
142	1669	21679
143	1680	21663
144	1692	21646
145	1701	21611
146	1713	21597
147	1724	21574
148	1735	21555
149	1747	21557
150	1760	21555
151	1771	21536
152	1783	21530
153	1794	21513
154	1804	21485
155	1816	21467
156	1827	21454
157	1838	21432
158	1850	21427
159	1861	21409
160	1873	21397
161	1884	21379
162	1896	21374
163	1907	21355
164	1918	21332
165	1929	21315
166	1940	21304
167	1951	21285
168	1963	21275
169	1975	21260
170	1985	21238
171	1997	21225
172	2007	21203
173	2019	21193
174	2031	21187
175	2043	21175
176	2054	21163
177	2064	21132
178	2076	21123
179	2087	21102
180	2099	21095
181	2110	21082
182	2120	21057
183	2132	21041
184	2143	21033
185	2155	21024
186	2168	21025
187	2180	21014
188	2191	20996
189	2201	20972
190	2213	20960
191	2224	20946
192	2234	20922
193	2245	20904
194	2255	20881
195	2266	20857
196	2276	20835
197	2287	20815
198	2298	20804
199	2311	20799
200	2323	20791
201	2335	20784
202	2346	20775
203	2358	20761
204	2370	20754
205	2380	20734
206	2393	20728
207	2404	20719
208	2416	20708
209	2427	20692
210	2438	20677
211	2450	20669
212	2461	20652
213	2472	20630
214	2483	20622
215	2494	20601
216	2502	20561
217	2510	20519
218	2520	20500
219	2531	20484
220	2543	20476
221	2555	20464
222	2565	20445
223	2576	20429
224	2581	20365
225	2592	20350
226	2604	20344
227	2615	20325
228	2626	20308
229	2637	20296
230	2648	20285
231	2660	20275
232	2671	20257
233	2678	20216
234	2686	20175
235	2697	20165
236	2710	20161
237	2721	20148
238	2732	20132
239	2743	20120
240	2755	20112
241	2766	20096
242	2771	20036
243	2782	20022
244	2793	20014
245	2805	20005
246	2817	19996
247	2828	19978
248	2840	19971
249	2850	19956
250	2862	19947
251	2873	19933
252	2884	19918
253	2895	19903
254	2907	19899
255	2919	19886
256	2929	19868
257	2935	19821
258	2946	19809
259	2957	19790
260	2969	19781
261	2977	19748
262	2989	19741
263	3000	19732
264	3012	19722
265	3019	19680
266	3030	19667
267	3042	19664
268	3053	19649
269	3065	19639
270	3077	19633
271	3088	19620
272	3100	19614
273	3110	19596
274	3123	19592
275	3135	19586
276	3146	19569
277	3158	19563
278	3162	19509
279	3173	19494
280	3185	19489
281	3196	19472
282	3207	19459
283	3218	19446
284	3229	19435
285	3239	19412
286	3250	19398
287	3261	19387
288	3273	19381
289	3285	19371
290	3296	19360
291	3309	19355
292	3320	19343
293	3325	19299
294	3338	19294
295	3349	19283
296	3361	19275
297	3373	19266
298	3384	19253
299	3396	19248
300	3409	19243
301	3419	19228
302	3431	19220
303	3443	19209
304	3456	19207
305	3467	19195
306	3480	19192
307	3492	19185
308	3503	19171
309	3514	19157
310	3526	19150
